ID;CODIGO_SETOR;ATIVO;NOME_SETOR;ORGAO;LOGRADOURO;NUMERO;COMPLEMENTO;BAIRRO;CIDADE;ESTADO;CEP;TELEFONE;EMAIL
16;013.AGEATARP;1;Agência de Atendimento de Arapoema;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARAPOEMA;TO;77780000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
17;013.AGEATARR;1;Agência de Atendimento de Arraias;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ARRAIAS;TO;77330000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
18;013.AGEATAUG;1;Agência de Atendimento de Augustinópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SAMPAIO;TO;77980000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
19;013.AGEATAUT;1;Agência de Atendimento de Aurora do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;AURORA DO TOCANTINS;TO;77325000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
20;013.AGEATAXT;1;Agência de Atendimento de Axixá do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;AXIXA DO TOCANTINS;TO;77930000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
21;013.AGEATBBL;1;Agência de Atendimento de Babaçulândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BABACULANDIA;TO;77870000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
22;013.AGEATBAR;1;Agência de Atendimento de Barrolândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BARROLANDIA;TO;77665000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
23;013.AGEATBES;1;Agência de Atendimento de Bernardo Sayão;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BERNARDO SAYAO;TO;77755000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
24;013.AGEATBJT;1;Agência de Atendimento de Bom Jesus do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BOM JESUS DO TOCANTINS;TO;77714000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
25;013.AGEATBRT;1;Agência de Atendimento de Brasilândia do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BRASILANDIA DO TOCANTINS;TO;77735000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
26;013.AGEATBRN;1;Agência de Atendimento de Brejinho de Nazaré;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BREJINHO DE NAZARE;TO;77560000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
27;013.AGEATBUT;1;Agência de Atendimento de Buriti do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;BURITI DO TOCANTINS;TO;77995000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
28;013.AGEATCAL;1;Agência de Atendimento de Campos Lindos;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CAMPOS LINDOS;TO;77777000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
29;013.AGEATCRR;1;Agência de Atendimento de Cariri do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CARIRI DO TOCANTINS;TO;77453000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
30;013.AGEATCAR;1;Agência de Atendimento de Carmolândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CARMOLANDIA;TO;77840000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
31;013.AGEATCAS;1;Agência de Atendimento de Caseara;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CASEARA;TO;77680000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
32;013.AGEATCOL;1;Agência de Atendimento de Colinas do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;COLINAS DO TOCANTINS;TO;77760000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
33;013.AGEATCML;1;Agência de Atendimento de Colméia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;COLMEIA;TO;77725000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
34;013.AGEATCBN;1;Agência de Atendimento de Combinado;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;COMBINADO;TO;77350000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
35;013.AGEATCOT;1;Agência de Atendimento de Conceição do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CONCEICAO DO TOCANTINS;TO;77305000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
36;013.AGEATCOM;1;Agência de Atendimento de Couto Magalhães;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;COUTO MAGALHAES;TO;77750000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
37;013.AGEATCRI;1;Agência de Atendimento de Cristalãndia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;CRISTALÂNDIA;TO;77490000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
38;013.AGEATDAR;1;Agência de Atendimento de Darcinópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DARCINOPOLIS;TO;77910000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
39;013.AGEATDIA;1;Agência de Atendimento de Dianópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DIANOPOLIS;TO;77300000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
40;013.AGEATDIV;1;Agência de Atendimento de Divinópolis do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DIVINOPOLIS DO TOCANTINS;TO;77670000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
41;013.AGEATDOI;1;Agência de Atendimento de Dois irmãos do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DOIS IRMÃOS DO TOCANTINS;TO;77685000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
42;013.AGEATDUE;1;Agência de Atendimento de Dueré;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DUERE;TO;77400000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
43;013.AGEATFAT;1;Agência de Atendimento de Fátima;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;FATIMA;TO;77555000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
44;013.AGEATFIG;1;Agência de Atendimento de Figueirópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;FIGUEIROPOLIS;TO;77465000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
45;013.AGEATFID;1;Agência de Atendimento de Filadélfia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;FILADELFIA;TO;77795000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
46;013.AGEATFOA;1;Agência de Atendimento de Formoso do Araguaia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;FORMOSO DO ARAGUAIA;TO;77470000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
47;013.AGEATGOI;1;Agência de Atendimento de Goianorte;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;GOIANORTE;TO;77695000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
48;013.AGEATGOT;1;Agência de Atendimento de Goiatins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;GOIATINS;TO;77770000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
49;013.AGEATGUA;1;Agência de Atendimento de Guaraí;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;GUARAI;TO;77700000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
50;013.AGEATGUR;1;Agência de Atendimento de Gurupi;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;GURUPI;TO;77410070;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
51;013.AGEATITA;1;Agência de Atendimento de Itacajá;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ITACAJA;TO;77720000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
52;013.AGEATITG;1;Agência de Atendimento de Itaguatins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ITAGUATINS;TO;77920000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
53;013.AGEATITP;1;Agência de Atendimento de Itapiratins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ITAPIRATINS;TO;77718000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
54;013.AGEATITT;1;Agência de Atendimento de Itaporã do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;ITAPORA DO TOCANTINS;TO;77740000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
55;013.AGEATJAT;1;Agência de Atendimento de Jaú do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;JAU DO TOCANTINS;TO;77390000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
56;013.AGEATLAC;1;Agência de Atendimento de Lagoa da Confusão;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;LAGOA DA CONFUSAO;TO;77483000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
57;013.AGEATLAT;1;Agência de Atendimento de Lagoa do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;LAGOA DO TOCANTINS;TO;77613000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
58;013.AGEATLAG;1;Agência de Atendimento de Lajeado;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;LAJEADO;TO;77645000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
59;013.AGEATMAE;1;Agência de Atendimento de Mateiros;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MATEIROS;TO;77593000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
60;013.AGEATMIT;1;Agência de Atendimento de Miracema do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MIRACEMA DO TOCANTINS;TO;77650000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
61;013.AGEATMIR;1;Agência de Atendimento de Miranorte;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MIRANORTE;TO;77660000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
62;013.AGEATMTC;1;Agência de Atendimento de Monte do Carmo;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MONTE DO CARMO;TO;77585000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
63;013.AGEATMOT;1;Agência de Atendimento de Monte Santo do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MONTE SANTO;TO;77600000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
64;013.AGEATMUR;1;Agência de Atendimento de Muricilãndia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MURICILANDIA;TO;77850000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
65;013.AGEATNAT;1;Agência de Atendimento de Natividade;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NATIVIDADE;TO;77370000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
66;013.AGEATNAZ;1;Agência de Atendimento de Nazaré;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NAZARE;TO;77895000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
67;013.AGEATNOO;1;Agência de Atendimento de Nova Olinda;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NOVA OLINDA;TO;77790000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
68;013.AGEATNRO;1;Agência de Atendimento de Nova Rosalândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NOVA ROSALANDIA;TO;77495000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
69;013.AGEATNAC;1;Agência de Atendimento de Novo Acordo;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NOVO ACORDO;TO;77001566;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
70;013.AGEATNAL;1;Agência de Atendimento de Novo Alegre;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;NOVO ALEGRE;TO;77353000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
71;013.AGEATNJA;1;Agência de Atendimento de Novo Jardim;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;DIANOPOLIS;TO;77300000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
72;013.AGEATPAL;1;Agência de Atendimento de Palmas;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77019098;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
73;013.AGEATPAT;1;Agência de Atendimento de Palmeiras do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;AGUIARNOPOLIS;TO;77908000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
74;013.AGEATPME;1;Agência de Atendimento de Palmeirópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMEIROPOLIS;TO;77365000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
75;013.AGEATPTO;1;Agência de Atendimento de Paraiso do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PARAISO DO TOCANTINS;TO;77600000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
76;013.AGEATPAR;1;Agência de Atendimento de Paranã;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PARANA;TO;77360000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
77;013.AGEATPDR;1;Agência de Atendimento de Pau D´arco;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PAU DARCO;TO;77785000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
78;013.AGEATPEF;1;Agência de Atendimento de Pedro Afonso;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;GUARAI;TO;77700000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
79;013.AGEATPEI;1;Agência de Atendimento de Peixe;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PEIXE;TO;77460000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
80;013.AGEATPEQ;1;Agência de Atendimento de Pequizeiro;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PEQUIZEIRO;TO;77730000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
81;013.AGEATPIN;1;Agência de Atendimento de Pindorama do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PINDORAMA DO TOCANTINS;TO;77380000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
82;013.AGEATPJB;1;Agência de Atendimento de Ponte Alta do Bom Jesus;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PONTE ALTA DO BOM JESUS;TO;77315000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
83;013.AGEATPOT;1;Agência de Atendimento de Ponte Alta do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PONTE ALTA DO TOCANTINS;TO;77590000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
84;013.AGEATPNA;1;Agência de Atendimento de Porto Nacional;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PORTO NACIONAL;TO;77500000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
85;013.AGEATPRK;1;Agência de Atendimento de Presidente Kennedy;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PRESIDENTE KENNEDY;TO;77745000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
86;013.AGEATPUG;1;Agência de Atendimento de Pugmil;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PUGMIL;TO;77600000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
87;013.AGEATRIC;1;Agência de Atendimento de Riachinho;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;RIACHINHO;TO;77893000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
88;013.AGEATRBO;1;Agência de Atendimento de Rio dos Bois;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;RIO DOS BOIS;TO;77655000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
89;013.AGEATRSO;1;Agência de Atendimento de Rio Sono;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;RIO SONO;TO;77635000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
90;013.AGEATSAN;1;Agência de Atendimento de Sandolândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANDOLANDIA;TO;77478000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
91;013.AGEATSFE;1;Agência de Atendimento de Santa Fé do Araguaia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANTA FE;TO;77823120;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
92;013.AGEATSMA;1;Agência de Atendimento de Santa Maria do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANTA MARIA DO TOCANTINS;TO;77716000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
93;013.AGEATSRI;1;Agência de Atendimento de Santa Rita do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANTA RITA DO TOCANTINS;TO;77565000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
94;013.AGEATSRO;1;Agência de Atendimento de Santa Rosa do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANTA ROSA DO TOCANTINS;TO;77375000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
95;013.AGEATSBT;1;Agência de Atendimento de São Bento do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SAO BENTO DO TOCANTINS;TO;77958000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
96;013.AGEATSMT;1;Agência de Atendimento de São Miguel do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SAO MIGUEL;TO;77925000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
97;013.AGEATSIL;1;Agência de Atendimento de Silvanópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SILVANOPOLIS;TO;77580000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
98;013.AGEATSNT;1;Agência de Atendimento de Sitio Novo do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SITIO NOVO;TO;77940000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
99;013.AGEATTAB;1;Agência de Atendimento de Tabocão;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;FORTALEZA DO TABOCAO;TO;77708000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
100;013.AGEATTAG;1;Agência de Atendimento de Taguatinga;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;TAGUATINGA;TO;77300000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
101;013.AGEATTAL;1;Agência de Atendimento de Talismã;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;TALISMA;TO;77483000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
102;013.AGEATTAQ;1;Agência de Atendimento de Taquaralto;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77001000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
103;013.AGEATTCN;1;Agência de Atendimento de Tocantínia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;TOCANTINIA;TO;77640000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
104;013.AGEATTOC;1;Agência de Atendimento de Tocantinópolis;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;TOCANTINOPOLIS;TO;77900000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
105;013.AGEATTUP;1;Agência de Atendimento de Tupirama;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;TUPIRAMA;TO;77704000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
106;013.AGEATWND;1;Agência de Atendimento de Wanderlândia;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;WANDERLANDIA;TO;77860000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
107;013.AGEATXMB;1;Agência de Atendimento de Xambioá;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;XAMBIOA;TO;77880000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
108;013.AGEATMRT;1;Agência de Atendimento Marianópolis do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;MARIANOPOLIS DO TOCANTINS;TO;77675000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
109;013.AGEATSTT;1;Agência de Atendimento Santa Tereza do Tocantins;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SANTA TEREZA DO TOCANTINS;TO;77615000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
110;013.AGEATSAV;1;Agência de Atendimento São Valério da Natividade;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;SAO VALERIO;TO;77390000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
111;013.AGECON;1;Agente de Contratação;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77021681;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
112;013.ASAP;1;Assessoria de Análises e Pesquisas;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77021681;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
113;013.ASGAB;1;Assessoria de Gabinete II - Gab do Secretário;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77020570;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
114;013.ASGAB III;1;Assessoria de Gabinete III - Gab do Sec Ex Tesouro;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77006066;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
115;013.ASGEST;1;Assessoria de Gestão Estratégica (PROFISCO);Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77023366;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
116;013.ASIP;1;Assessoria de Integração e Pesquisa;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77006586;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
117;013.ASLAF;1;Assessoria de Laboratório Forense;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77001000;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
118;013.ASPLA;1;Assessoria de Planejamento;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77015314;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
119;013.ASPOT;1;Assessoria de Política Tributária;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77015223;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
120;013.ASMED;1;Assessoria de Social Media e Design;Secretaria da Fazenda;atualizar endereço;0;complemento do endereço;CENTRO;PALMAS;TO;77001014;63 - 1234-5678;atualizar_email@sefaz.to.gov.br
