"ID","CODIGO_SETOR","NOME_SETOR","ORGAO","ATIVO","LOGRADOURO","NUMERO","COMPLEMENTO","BAIRRO","CIDADE","ESTADO","CEP","TELEFONE","EMAIL","DATA_CRIACAO","DATA_ATUALIZACAO","LATITUDE","LONGITUDE"
25,"013.AGEATBRT",Agência de Atendimento de Brasilândia do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BRASILANDIA DO TOCANTINS,TO,"77735000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.103,-8.38832003,-48.48438475
26,"013.AGEATBRN",Agência de Atendimento de Brejinho de Nazaré,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BREJINHO DE NAZARE,TO,"77560000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.104,-11.01393859,-48.56392375
27,"013.AGEATBUT",Agência de Atendimento de Buriti do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,BURITI DO TOCANTINS,TO,"77995000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.105,-5.31616092,-48.22666339
28,"013.AGEATCAL",Agência de Atendimento de Campos Lindos,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CAMPOS LINDOS,TO,"77777000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.106,-7.97383037,-46.80170642
29,"013.AGEATCRR",Agência de Atendimento de Cariri do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CARIRI DO TOCANTINS,TO,"77453000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.107,-11.89183885,-49.15982345
30,"013.AGEATCAR",Agência de Atendimento de Carmolândia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CARMOLANDIA,TO,"77840000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.109,-7.03554318,-48.39600976
31,"013.AGEATCAS",Agência de Atendimento de Caseara,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CASEARA,TO,"77680000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.110,-9.27089821,-49.95509705
32,"013.AGEATCOL",Agência de Atendimento de Colinas do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,COLINAS DO TOCANTINS,TO,"77760000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.111,-8.05561687,-48.47679668
33,"013.AGEATCML",Agência de Atendimento de Colméia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,COLMEIA,TO,"77725000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.112,-8.7298533,-48.75524082
34,"013.AGEATCBN",Agência de Atendimento de Combinado,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,COMBINADO,TO,"77350000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.113,-12.81211057,-46.5483844
35,"013.AGEATCOT",Agência de Atendimento de Conceição do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CONCEICAO DO TOCANTINS,TO,"77305000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.114,-12.22112271,-47.29368428
36,"013.AGEATCOM",Agência de Atendimento de Couto Magalhães,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,COUTO MAGALHAES,TO,"77750000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.117,-8.35932739,-49.17851748
37,"013.AGEATCRI",Agência de Atendimento de Cristalãndia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,CRISTALÂNDIA,TO,"77490000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.118,-10.59956173,-49.19369924
38,"013.AGEATDAR",Agência de Atendimento de Darcinópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DARCINOPOLIS,TO,"77910000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.119,-6.70896138,-47.75139313
39,"013.AGEATDIA",Agência de Atendimento de Dianópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DIANOPOLIS,TO,"77300000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.120,-11.61999625,-46.82309188
40,"013.AGEATDIV",Agência de Atendimento de Divinópolis do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DIVINOPOLIS DO TOCANTINS,TO,"77670000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.121,-9.80096528,-49.21154317
41,"013.AGEATDOI",Agência de Atendimento de Dois irmãos do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DOIS IRMÃOS DO TOCANTINS,TO,"77685000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.122,-9.25356354,-49.0658034
42,"013.AGEATDUE",Agência de Atendimento de Dueré,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DUERE,TO,"77485000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.123,-11.3428046,-49.26678068
43,"013.AGEATFAT",Agência de Atendimento de Fátima,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,FATIMA,TO,"77555000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.124,-10.75941919,-48.90421942
44,"013.AGEATFIG",Agência de Atendimento de Figueirópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,FIGUEIROPOLIS,TO,"77465000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.125,-12.13411729,-49.17324924
45,"013.AGEATFID",Agência de Atendimento de Filadélfia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,FILADELFIA,TO,"77795000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.126,-7.33709974,-47.49678275
46,"013.AGEATFOA",Agência de Atendimento de Formoso do Araguaia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,FORMOSO DO ARAGUAIA,TO,"77470000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.127,-11.80786744,-49.52335182
47,"013.AGEATGOI",Agência de Atendimento de Goianorte,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,GOIANORTE,TO,"77695000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.128,-8.77052588,-48.9353388
48,"013.AGEATGOT",Agência de Atendimento de Goiatins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,GOIATINS,TO,"77770000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.129,-7.71143087,-47.31702262
49,"013.AGEATGUA",Agência de Atendimento de Guaraí,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,GUARAI,TO,"77700000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.130,-8.83809054,-48.51318267
50,"013.AGEATGUR",Agência de Atendimento de Gurupi,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,GURUPI,TO,"77410070","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.131,-11.7199638,-49.07489369
51,"013.AGEATITA",Agência de Atendimento de Itacajá,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ITACAJA,TO,"77720000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.133,-8.39109511,-47.772244
52,"013.AGEATITG",Agência de Atendimento de Itaguatins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ITAGUATINS,TO,"77920000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.134,-5.77367351,-47.48091584
53,"013.AGEATITP",Agência de Atendimento de Itapiratins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ITAPIRATINS,TO,"77718000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.135,-8.38326468,-48.10648883
54,"013.AGEATITT",Agência de Atendimento de Itaporã do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,ITAPORA DO TOCANTINS,TO,"77740000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.135,-8.57266116,-48.69020596
55,"013.AGEATJAT",Agência de Atendimento de Jaú do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,JAU DO TOCANTINS,TO,"77450000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.136,-12.65267632,-48.59176286
56,"013.AGEATLAC",Agência de Atendimento de Lagoa da Confusão,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,LAGOA DA CONFUSAO,TO,"77493000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.137,-10.78792529,-49.62218119
57,"013.AGEATLAT",Agência de Atendimento de Lagoa do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,LAGOA DO TOCANTINS,TO,"77613000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.138,-10.29671499,-47.56562129
58,"013.AGEATLAG",Agência de Atendimento de Lajeado,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,LAJEADO,TO,"77645000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.139,-9.75461279,-48.35601906
59,"013.AGEATMAE",Agência de Atendimento de Mateiros,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MATEIROS,TO,"77593000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.140,-10.54664632,-46.4173509
60,"013.AGEATMIT",Agência de Atendimento de Miracema do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MIRACEMA DO TOCANTINS,TO,"77650000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.141,-9.55909616,-48.40757681
61,"013.AGEATMIR",Agência de Atendimento de Miranorte,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MIRANORTE,TO,"77660000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.142,-9.53612284,-48.59015601
62,"013.AGEATMTC",Agência de Atendimento de Monte do Carmo,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MONTE DO CARMO,TO,"77585000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.143,-10.76355265,-48.1101161
63,"013.AGEATMOT",Agência de Atendimento de Monte Santo do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MONTE SANTO,TO,"77673000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.144,-10.00618113,-48.99087738
64,"013.AGEATMUR",Agência de Atendimento de Muricilãndia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,MURICILANDIA,TO,"77850000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.145,-7.14477226,-48.60741611
65,"013.AGEATNAT",Agência de Atendimento de Natividade,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NATIVIDADE,TO,"77370000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.146,-11.70880027,-47.72700335
66,"013.AGEATNAZ",Agência de Atendimento de Nazaré,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NAZARE,TO,"77895000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.147,-6.3723108,-47.66051718
67,"013.AGEATNOO",Agência de Atendimento de Nova Olinda,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NOVA OLINDA,TO,"77790000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.149,-7.63679475,-48.42090492
68,"013.AGEATNRO",Agência de Atendimento de Nova Rosalândia,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NOVA ROSALANDIA,TO,"77495000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.150,-10.56716495,-48.91099774
69,"013.AGEATNAC",Agência de Atendimento de Novo Acordo,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NOVO ACORDO,TO,"77001566","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.151,-9.96619499,-47.68042831
70,"013.AGEATNAL",Agência de Atendimento de Novo Alegre,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,NOVO ALEGRE,TO,"77353000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.152,-12.91525868,-46.57648926
71,"013.AGEATNJA",Agência de Atendimento de Novo Jardim,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,DIANOPOLIS,TO,"77300000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.153,-11.61999625,-46.82309188
72,"013.AGEATPAL",Agência de Atendimento de Palmas,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PALMAS,TO,"77001908","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.154,-10.18257356,-48.3362181
73,"013.AGEATPAT",Agência de Atendimento de Palmeiras do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,AGUIARNOPOLIS,TO,"77908000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.155,-6.55890546,-47.47688129
74,"013.AGEATPME",Agência de Atendimento de Palmeirópolis,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PALMEIROPOLIS,TO,"77365000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.156,-13.0423009,-48.41021533
75,"013.AGEATPTO",Agência de Atendimento de Paraiso do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PARAISO DO TOCANTINS,TO,"77600000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.157,-10.17021889,-48.88231481
76,"013.AGEATPAR",Agência de Atendimento de Paranã,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PARANA,TO,"77360000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.158,-12.61686606,-47.8750876
77,"013.AGEATPDR",Agência de Atendimento de Pau D´arco,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PAU DARCO,TO,"77785000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.159,-7.5422365,-49.36723715
78,"013.AGEATPEF",Agência de Atendimento de Pedro Afonso,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,GUARAI,TO,"77700000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.160,-8.83809054,-48.51318267
79,"013.AGEATPEI",Agência de Atendimento de Peixe,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PEIXE,TO,"77460000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.161,-12.0378256,-48.54199551
80,"013.AGEATPEQ",Agência de Atendimento de Pequizeiro,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PEQUIZEIRO,TO,"77730000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.162,-8.59390611,-48.93540697
81,"013.AGEATPIN",Agência de Atendimento de Pindorama do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PINDORAMA DO TOCANTINS,TO,"77380000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.163,-11.13647682,-47.57978727
82,"013.AGEATPJB",Agência de Atendimento de Ponte Alta do Bom Jesus,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PONTE ALTA DO BOM JESUS,TO,"77315000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.164,-12.08861513,-46.47779588
83,"013.AGEATPOT",Agência de Atendimento de Ponte Alta do Tocantins,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PONTE ALTA DO TOCANTINS,TO,"77590000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.166,-10.74379304,-47.53909132
84,"013.AGEATPNA",Agência de Atendimento de Porto Nacional,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PORTO NACIONAL,TO,"77500-000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.167,-10.7098676,-48.40929633
85,"013.AGEATPRK",Agência de Atendimento de Presidente Kennedy,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,PRESIDENTE KENNEDY,TO,"77745000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.168,-8.53044082,-48.5059783
86,"013.AGEATPUG",Agência de Atendimento de Pugmil,Secretaria da Fazenda,"0",R. Pernambuco,sem número,,CENTRO,Pugmil,TO,"77603-000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.169,-10.42514622,-48.89539361
87,"013.AGEATRIC",Agência de Atendimento de Riachinho,Secretaria da Fazenda,"0",atualizar endereço,"0",,CENTRO,RIACHINHO,TO,"77893000","63 - 1234-5678",atualizar_email@sefaz.to.gov.br,2025-10-14 09:26:42.999,2025-11-14 08:15:47.170,-6.44324412,-48.1379494
